"Col1","retail_price","is_FK_Advantage_product","brand","Demand"
"Clothing",899,0,"",1
"Clothing",1099,0,"",1.83166666666667
"Clothing",2800,0,"",3.2979976442874
"Jewellery",7810,0,"Nishtaa",1.05256064690027
"Clothing",2600,0,"",2.89210233592881
"Clothing",1299,0,"",2.60320641282565
"Clothing",1998,0,"",2.6675567423231
"Clothing",1099,0,"",1.46533333333333
"Clothing",1998,0,"",2.6675567423231
"Clothing",1199,0,"",1.66759388038943
"Clothing",999,0,"",1.25031289111389
"Clothing",1998,0,"",2.6675567423231
"Clothing",1699,0,"",2.00117785630153
"Clothing",1998,0,"",2.6675567423231
"Clothing",2999,0,"",2.0006671114076
"Clothing",1998,0,"",2.6675567423231
"Clothing",1899,0,"",1.85268292682927
"Clothing",1998,0,"",2.6675567423231
"Clothing",1599,0,"",2.46379044684129
"Clothing",2999,0,"",1.85237801111797
"Jewellery",11076,0,"Jewels Of Jaipur",1.17654557042702
"Jewellery",11587,0,"Jewels Of Jaipur",1.17658407798538
"Jewellery",31300,0,"BlueStone",1.10549924063151
"Clothing",2499,1,"",1.53879310344828
"Clothing",2499,1,"",1.53879310344828
"Clothing",845,0,"",2.01190476190476
"Clothing",1495,0,"",1
"Clothing",2095,0,"",1
"Clothing",815,0,"",1.99754901960784
"Footwear",499,0,"",1
"Clothing",1275,0,"",1.43258426966292
"Jewellery",9300,0,"Nishtaa",1.05263157894737
"Home",7999,0,"JDX",2.37359050445104
"Clothing",999,0,"",2.00200400801603
"Home",5299,0,"JDX",2.20791666666667
"Clothing",1998,0,"",2.10315789473684
"Home",5899,0,"JDX",2.04826388888889
"Clothing",899,0,"",1.80160320641283
"Mobiles",1999,0,"DailyObjects",1.18635014836795
"Clothing",1399,1,"",1.66746126340882
"Jewellery",2975,0,"Kiara Jewellery",2.01694915254237
"Jewellery",3675,0,"Kiara Jewellery",1.68965517241379
"Clothing",1799,0,"",1
"Clothing",1699,0,"",1.88987764182425
"Jewellery",4525,0,"Kiara Jewellery",1.49586776859504
"Jewellery",3911,0,"Kiara Jewellery",2.00051150895141
"Clothing",2900,0,"",1.16
"Clothing",1599,0,"",1.23094688221709
"Home",5899,0,"JDX",2.04826388888889
"Home",7999,0,"JDX",2.37359050445104
"Home",10999,0,"JDX",2.34071078952969
"Jewellery",8690,0,"Ishtaa",1.0526953361599
"Clothing",749,0,"",2.02981029810298
"Clothing",720,0,"",2
"Clothing",740,0,"",2
"Clothing",740,0,"",2
"Clothing",740,0,"",2
"Clothing",720,0,"",2
"Clothing",749,0,"",2.02981029810298
"Jewellery",23124,0,"BlueStone",1.12356056557019
"Clothing",1199,0,"",1.53915275994865
"Clothing",1499,0,"",2.7304189435337
"Clothing",599,0,"",1.36446469248292
"Jewellery",15916,0,"BlueStone",1
"Clothing",2899,0,"",1.9339559706471
"Clothing",1645,0,"",1.66666666666667
"Clothing",1550,0,"",2.05026455026455
"Clothing",1550,0,"",2.05026455026455
"Clothing",1550,0,"",2.05026455026455
"Clothing",1550,0,"",2.05026455026455
"Clothing",1400,0,"",1.66666666666667
"Clothing",1400,0,"",1.66666666666667
"Clothing",825,0,"",1
"Clothing",1099,0,"",1.66767830045524
"Clothing",1400,0,"",1.75
"Jewellery",22946,0,"BlueStone",1.12353718846399
"Clothing",1990,0,"",1
"Clothing",2070,0,"",1
"Clothing",2230,0,"",1.11111111111111
"Clothing",2120,0,"",1
"Clothing",2055,0,"",1
"Clothing",2630,0,"",1
"Clothing",2455,0,"",1
"Clothing",1995,0,"",1
"Clothing",1995,0,"",1
"Jewellery",44470,0,"Karatcraft",1.20001079389066
"Clothing",1199,0,"",1.1112140871177
"Clothing",999,0,"",1.42918454935622
